2 0 2 ..FGBB..FGH..AAGH......ICCCDDI..EE..
3 1 2 ..F.BB..FGH..AAGH....G.ICCCDDI..EE.. G99
3 1 2 ..FGBB..FGH.AA.GH......ICCCDDI..EE.. A99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI...EE. E99
3 1 2 ..FGBB..FGH..AAGH.......CCCDDI..EE.I I99
3 1 2 ..FGBB..FG...AAGH.....HICCCDDI..EE.. H99
3 1 2 ..FGBB..FGH..AAGH......ICCCDDIEE.... E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI....EE E98
3 1 2 ..FGBB..FGH..AAGH......ICCCDDI.EE... E99
4 1 3 ..FGBB..FGHI.AAGHI......CCCDD...EE.. I98
4 1 3 ..FGBB..FGH..AAGHI.....ICCCDD...EE.. I99
4 2 2 ..F.BB..FGH..AAGH....G..CCCDDI..EE.I G99 I99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI...EEI I99 E99
4 2 2 ..FGBB..FG...AAGH.....H.CCCDDI..EE.I H99 I99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDIEE.... A99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI...EE. H99 E99
4 2 2 ..F.BB..FGH.AA.GH....G.ICCCDDI..EE.. G99 A99
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI....EE A99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI.EE... A99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDIEE.... G99 E98
4 2 2 ..FGBB..FGH.AA.GH......ICCCDDI...EE. A99 E99
4 2 2 ..FGBB..FGH.AA.GH.......CCCDDI..EE.I A99 I99
4 2 2 ..F.BB..FG...AAGH....GHICCCDDI..EE.. G99 H99
4 2 2 ..FBB...FGH..AAGH....G.ICCCDDI..EE.. G99 B99
4 2 2 ..FGBB..FG..AA.GH.....HICCCDDI..EE.. H99 A99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI.EE... G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDIEE...I I99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI.EE... H99 E99
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI....EE G99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDI....EE H99 E98
4 2 2 ..FGBB..FG...AAGH.....HICCCDDIEE.... H99 E98
4 2 2 ..F.BB..FGH..AAGH....G.ICCCDDI...EE. G99 E99
4 2 2 ..FGBB..FGH..AAGH.......CCCDDI.EE..I I99 E99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.....EE I98 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCC.DD..EE.. I98 D99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD....EE. I98 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD....EE. I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCC.DD..EE.. I99 D99
5 2 3 ..F.BB..FGH..AAGHI...G.ICCCDD...EE.. G99 I99
5 2 3 ..FGBB..FGHIAA.GHI......CCCDD...EE.. A99 I98
5 2 3 ..F.BB..FGHI.AAGHI...G..CCCDD...EE.. G99 I98
5 2 3 ..FGBB..FGH.AA.GHI.....ICCCDD...EE.. A99 I99
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD..EE... I98 E99
5 2 3 ...GBB...GH.AAFGH...F..ICCCDDI..EE.. F98 A99
5 2 3 ...GBB..FGH.AAFGH......ICCCDDI..EE.. F99 A99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD..EE... I99 E99
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.....EE I99 E98
5 2 3 ..FGBB..FGH..AAGHI.....ICCCDD.EE.... I99 E98
5 2 3 ..FGBB..FGHI.AAGHI......CCCDD.EE.... I98 E98
5 2 3 ..FGBB..FG.I.AAGHI....H.CCCDD...EE.. H99 I98
5 2 3 ..FGBB..FG...AAGHI....HICCCDD...EE.. H99 I99
6 3 3 ..FGBB..FGHI.AAGHI......CCC.DD.EE... I98 D99 E99
6 3 3 ..FGBB..FGHIAA.GHI......CCCDD.EE.... A99 I98 E98
6 3 3 ..FGBB..FGH.AA.GHI.....ICCCDD.EE.... A99 I99 E98
6 3 3 ..FGBB..FG.I.AAGHI....H.CCCDD....EE. H99 I98 E99
6 3 3 ..FGBB..FGHIAA.GHI......CCCDD.....EE A99 I98 E98
6 3 3 ..FGBB..FGHIAA.GHI......CCC.DD..EE.. A99 I98 D99
6 3 3 ...GBB...GH.AAFGH...F..ICCCDDIEE.... F98 A99 E98
6 3 3 ..FGBB..FG.I.AAGHI....H.CCC.DD..EE.. H99 I98 D99
6 3 3 ..F.BB..F.HI.AAGHI...G..CCCGDD..EE.. G98 I98 D99
6 3 3 ...GBB..FGH.AAFGH......ICCCDDIEE.... F99 A99 E98
6 3 3 ..F.BB..FGHI.AAGHI...G..CCC.DD..EE.. G99 I98 D99
6 3 3 ..FGBB..FG...AAGHI....HICCCDD.EE.... H99 I99 E98
6 3 3 ...GBB...GH.AAFGH...F...CCCDDI..EE.I F98 A99 I99
6 3 3 ..FGBB..FG...AAGHI....HICCCDD.....EE H99 I99 E98
6 3 3 ..F.BB..FGH..AAGHI...G.ICCCDD.....EE G99 I99 E98
6 3 3 ..FGBB..FG...AAGHI....HICCCDD..EE... H99 I99 E99
6 3 3 ..FGBB..FGH..AAGHI.....ICCC.DDEE.... I99 D99 E98
6 3 3 ..FGBB..FG..AA.GHI....HICCCDD...EE.. H99 A99 I99
6 3 3 ...GBB...G..AAFGH...F.HICCCDDI..EE.. F98 H99 A99
6 3 3 ..FGBB..FG.I.AAGHI....H.CCCDD.EE.... H99 I98 E98
6 3 3 ...GBB..FG..AAFGH.....HICCCDDI..EE.. F99 H99 A99
6 3 3 ..F.BB..FGH..AAGHI...G.ICCC.DD..EE.. G99 I99 D99
6 3 3 ..FGBB..FGHIAA.GHI......CCCDD....EE. A99 I98 E99
6 3 3 ..FBB...FGHI.AAGHI...G..CCCDD...EE.. G99 B99 I98
6 3 3 ..FBB...FGH..AAGHI...G.ICCCDD...EE.. G99 B99 I99
6 3 3 ..F.BB..FG.I.AAGHI...GH.CCCDD...EE.. G99 H99 I98
6 3 3 ..FGBB..FGH..AAGHI.....ICCC.DD.EE... I99 D99 E99
6 3 3 ..F.BB..FG...AAGHI...GHICCCDD...EE.. G99 H99 I99
6 3 3 ...GBB..FGH.AAFGH.......CCCDDI..EE.I F99 A99 I99
6 3 3 ..FGBB..FGH.AA.GHI.....ICCCDD....EE. A99 I99 E99
6 3 3 ...GBB...GH.AAFGH...F..ICCCDDI...EE. F98 A99 E99
6 3 3 ..FGBB..FGH..AAGHI.....I.CCCDD..EE.. I99 C99 D99
6 3 3 ...GBB..FGH.AAFGH......ICCCDDI...EE. F99 A99 E99
6 3 3 ..FGBB..FG.I.AAGHI....H.CCCDD.....EE H99 I98 E98
6 3 3 ..F.BB..FGH..AAGHI...G.ICCCDD.EE.... G99 I99 E98
6 3 3 ..FGBB..FGH..AAGHI.....ICCC.DD....EE I99 D99 E98
6 3 3 ..F.BB..F.H..AAGHI...G.ICCCGDD..EE.. G98 I99 D99
6 3 3 ..FGBB..FGHIAA.GHI......CCCDD..EE... A99 I98 E99
6 3 3 ..FGBB..FGH.AA.GHI.....ICCCDD..EE... A99 I99 E99
6 3 3 ..FGBB..FG.IAA.GHI....H.CCCDD...EE.. H99 A99 I98
6 3 3 ..F.BB..FGHI.AAGHI...G..CCCDD.....EE G99 I98 E98
6 3 3 ..FGBB..FG...AAGHI....HICCC.DD..EE.. H99 I99 D99
6 3 3 ...GBB...GH.AAFGH...F..ICCCDDI.EE... F98 A99 E99
6 3 3 ...GBB..FGH.AAFGH......ICCCDDI.EE... F99 A99 E99
6 3 3 ..F.BB..FGHI.AAGHI...G..CCCDD..EE... G99 I98 E99
6 3 3 ..FGBB..FGH.AA.GHI.....ICCCDD.....EE A99 I99 E98
6 3 3 ..FGBB..FG.I.AAGHI....H.CCCDD..EE... H99 I98 E99
6 3 3 ..FGBB..FGH.AA.GHI.....ICCC.DD..EE.. A99 I99 D99
6 3 3 ...GBB...GH.AAFGH...F..ICCCDDI....EE F98 A99 E98
6 3 3 ...GBB..FGH.AAFGH......ICCCDDI....EE F99 A99 E98
6 3 3 ..F.BB..FGH..AAGHI...G.ICCCDD..EE... G99 I99 E99
6 4 2 ..FBB...FGH.AA.GH....G.ICCCDDI.EE... G99 B99 A99 E99
6 4 2 ..FBB...FGH.AA.GH....G.ICCCDDI....EE G99 B99 A99 E98
6 4 2 ..FBB...FGH.AA.GH....G..CCCDDI..EE.I G99 B99 A99 I99
6 4 2 ..FBBI..FGHIAA.GH....G..CCCDD...EE.. G99 B99 A99 I97
6 4 2 ..FGBB..FG..AA.GH.....H.CCCDDI...EEI H99 A99 I99 E99
6 4 2 ..F.BB..FG...AAGH....GH.CCCDDIEE...I G99 H99 I99 E98
6 4 2 ..FBB...FGH..AAGH....G..CCCDDIEE...I G99 B99 I99 E98
6 4 2 ..F.BB..FG..AA.GH....GHICCCDDI.EE... G99 H99 A99 E99
6 4 2 ..F.BB..FG..AA.GH....GHICCCDDI....EE G99 H99 A99 E98
6 4 2 ..F.BB..FG..AA.GH....GH.CCCDDI..EE.I G99 H99 A99 I99
6 4 2 ..FBB...FG..AA.GH....GHICCCDDI..EE.. G99 B99 H99 A99
6 4 2 ..F.BB..FGH.AA.GH....G..CCCDDIEE...I G99 A99 I99 E98
6 4 2 ..FGBB..FG..AA.GH.....H.CCCDDIEE...I H99 A99 I99 E98
6 4 2 ..F.BB..FG..AA.GH....GHICCCDDIEE.... G99 H99 A99 E98
6 4 2 ..F.BB..FG..AA.GH....GHICCCDDI...EE. G99 H99 A99 E99
6 4 2 ..FBB...FGH.AA.GH....G.ICCCDDIEE.... G99 B99 A99 E98
6 4 2 ..FBB...FGH.AA.GH....G.ICCCDDI...EE. G99 B99 A99 E99
6 4 2 ..F.BB..F.H..AA.HI...G.ICCCGDD.EEG.. G97 I99 D99 E99
6 4 2 ..F.BB..F.H..AA.HI...G.ICCCGDD...GEE G97 I99 D99 E98
6 4 2 ..F.BB..FGH.AA.GH....G..CCCDDI...EEI G99 A99 I99 E99
6 4 2 ..F.BB..FG...AAGH....GH.CCCDDI...EEI G99 H99 I99 E99
6 4 2 ..F.BB..F.H..AA.HI...G.ICCCGDDEE.G.. G97 I99 D99 E98
6 4 2 ..FGBB..FG..AA.GH.....H.CCCDDI.EE..I H99 A99 I99 E99
6 4 2 ..F.BB..F.HI.AA.HI...G..CCCGDD.EEG.. G97 I98 D99 E99
6 4 2 ..F.BB..F.HI.AA.HI...G..CCCGDD...GEE G97 I98 D99 E98
6 4 2 ..FBBI..FGHI.AAGH....G..CCCDD.....EE G99 B99 I97 E98
6 4 2 ..F.BB..F.HI.AA.HI...G..CCCGDDEE.G.. G97 I98 D99 E98
6 4 2 ..FBB...FGH..AAGH....G..CCCDDI.EE..I G99 B99 I99 E99
6 4 2 ..FBBI..FGHI.AAGH....G..CCCDD.EE.... G99 B99 I97 E98
6 4 2 ..FBB...FGH..AAGH....G..CCCDDI...EEI G99 B99 I99 E99
6 4 2 ..FBBI..FGHI.AAGH....G..CCCDD....EE. G99 B99 I97 E99
6 4 2 ..FBB...FG...AAGH....GHICCCDDIEE.... G99 B99 H99 E98
6 4 2 ..FBB...FG...AAGH....GHICCCDDI.EE... G99 B99 H99 E99
6 4 2 ..FBBI..FGHI.AAGH....G..CCCDD..EE... G99 B99 I97 E99
6 4 2 ..FBBI..FGHI.AAGH....G..CCC.DD..EE.. G99 B99 I97 D99
6 4 2 ..FBBI..FG.I.AAGH....GH.CCCDD...EE.. G99 B99 H99 I97
6 4 2 ..FBB...FG...AAGH....GH.CCCDDI..EE.I G99 B99 H99 I99
6 4 2 ..F.BB..FG...AAGH....GH.CCCDDI.EE..I G99 H99 I99 E99
6 4 2 ..FBB...FG...AAGH....GHICCCDDI....EE G99 B99 H99 E98
6 4 2 ..FBB...FG...AAGH....GHICCCDDI...EE. G99 B99 H99 E99
6 4 2 ..F.BB..FGH.AA.GH....G..CCCDDI.EE..I G99 A99 I99 E99
7 3 4 ...GBB..FGHIAAFGHI......CCCDD...EE.. F99 A99 I98
7 3 4 ...GBB..FGH.AAFGHI.....ICCCDD...EE.. F99 A99 I99
7 3 4 ...GBB...GHIAAFGHI..F...CCCDD...EE.. F98 A99 I98
7 3 4 ...GBB...GH.AAFGHI..F..ICCCDD...EE.. F98 A99 I99
7 4 3 ...GBB..FG..AAFGH.....HICCCDDI...EE. F99 H99 A99 E99
7 4 3 ..FGBB..FG.IAA.GHI....H.CCCDD.....EE H99 A99 I98 E98
7 4 3 ..F.BB..FG.I.AAGHI...GH.CCC.DD..EE.. G99 H99 I98 D99
7 4 3 ..F.BB..FGHIAA.GHI...G..CCCDD....EE. G99 A99 I98 E99
7 4 3 ..FGBB..FG.IAA.GHI....H.CCCDD.EE.... H99 A99 I98 E98
7 4 3 BB.......GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 B96 A99
7 4 3 ..FGBB..FGHI.AAGHI.......CCCDD...EE. I98 C99 D99 E99
7 4 3 ..F.BB..FGHIAA.GHI...G..CCCDD.....EE G99 A99 I98 E98
7 4 3 ..FGBB..FGHI.AAGHI.......CCCDDEE.... I98 C99 D99 E98
7 4 3 ..FBB...FGH..AAGHI...G.ICCC.DD..EE.. G99 B99 I99 D99
7 4 3 ..FBB...FGHIAA.GHI...G..CCCDD...EE.. G99 B99 A99 I98
7 4 3 ..FBB...FGH.AA.GHI...G.ICCCDD...EE.. G99 B99 A99 I99
7 4 3 ..F.BB..FGHI.AAGHI...G..CCC.DD...EE. G99 I98 D99 E99
7 4 3 ...BB....GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 B99 A99
7 4 3 ...BB...FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 B99 A99
7 4 3 ..FGBB..FGHI.AAGHI.......CCCDD.EE... I98 C99 D99 E99
7 4 3 ..F.BB..FGH.AA.GHI...G.ICCC.DD..EE.. G99 A99 I99 D99
7 4 3 ..F.BB..FGHIAA.GHI...G..CCC.DD..EE.. G99 A99 I98 D99
7 4 3 ..FGBB..FGH..AAGHI.....I.CCCDD...EE. I99 C99 D99 E99
7 4 3 ..FGBB..FGHI.AAGHI.......CCCDD....EE I98 C99 D99 E98
7 4 3 ..F.BB..FG.IAA.GHI...GH.CCCDD...EE.. G99 H99 A99 I98
7 4 3 ..FGBB..FGH.AA.GHI.....ICCC.DD...EE. A99 I99 D99 E99
7 4 3 ..F.BB..FG..AA.GHI...GHICCCDD...EE.. G99 H99 A99 I99
7 4 3 .BB.....FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 B97 A99
7 4 3 ..FBB...F.HI.AAGHI...G..CCCGDD..EE.. G98 B99 I98 D99
7 4 3 ....BB...G..AAFGH...FGHICCCDDI..EE.. F98 G99 H99 A99
7 4 3 ....BB..FG..AAFGH....GHICCCDDI..EE.. F99 G99 H99 A99
7 4 3 ..F.BB..FGH.AA.GHI...G.ICCCDD....EE. G99 A99 I99 E99
7 4 3 BB......FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 B96 A99
7 4 3 ....BB..FGH.AAFGH....G.ICCCDDI...EE. F99 G99 A99 E99
7 4 3 ..FGBB..FG.IAA.GHI....H.CCCDD....EE. H99 A99 I98 E99
7 4 3 ..FGBB..FGHIAA.GHI......CCC.DD.EE... A99 I98 D99 E99
7 4 3 ...GBB...GH.AAFGH...F...CCCDDI...EEI F98 A99 I99 E99
7 4 3 ..F.BB..F.H..AAGHI...G.ICCCGDDEE.... G98 I99 D99 E98
7 4 3 ..F.BB..FGH..AAGHI...G.ICCC.DDEE.... G99 I99 D99 E98
7 4 3 ...GBB..FGH.AAFGH.......CCCDDI...EEI F99 A99 I99 E99
7 4 3 ..F.BB..F..I.AAGHI...GH.CCCGDD..EE.. G98 H99 I98 D99
7 4 3 ..BB....FGH.AAFGH....G.ICCCDDI..EE.. F99 G99 B98 A99
7 4 3 ..FGBB..FG.I.AAGHI....H.CCC.DD.EE... H99 I98 D99 E99
7 4 3 ..F.BB..F.HIAA.GHI...G..CCCGDD..EE.. G98 A99 I98 D99
7 4 3 ..FGBB..FGH.AA.GHI.....ICCC.DDEE.... A99 I99 D99 E98
7 4 3 ..F.BB..F.HI.AAGHI...G..CCCGDD.EE... G98 I98 D99 E99
7 4 3 ..F.BB..FGHI.AAGHI...G..CCC.DD.EE... G99 I98 D99 E99
7 4 3 .BB......GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 B97 A99
7 4 3 ..BB.....GH.AAFGH...FG.ICCCDDI..EE.. F98 G99 B98 A99
7 4 3 ..FGBB..FG.IAA.GHI....H.CCC.DD..EE.. H99 A99 I98 D99
7 4 3 ..FGBB..FGHIAA.GHI.......CCCDD..EE.. A99 I98 C99 D99
7 4 3 ..FGBB..FG.I.AAGHI....H..CCCDD..EE.. H99 I98 C99 D99
7 4 3 ..F.BB..FG.I.AAGHI...GH.CCCDD.....EE G99 H99 I98 E98
7 4 3 ..F.BB..FGHI.AAGHI...G...CCCDD..EE.. G99 I98 C99 D99
7 4 3 ..FGBB..FG..AA.GHI....HICCC.DD..EE.. H99 A99 I99 D99
7 4 3 ..F.BB..FG...AAGHI...GHICCC.DD..EE.. G99 H99 I99 D99
7 4 3 ..FGBB..FGHIAA.GHI......CCC.DD....EE A99 I98 D99 E98
7 4 3 ..FGBB..FG.I.AAGHI....H.CCC.DD....EE H99 I98 D99 E98
7 4 3 ...GBB...G..AAFGH...F.H.CCCDDI..EE.I F98 H99 A99 I99
7 4 3 ..FGBB..FG.IAA.GHI....H.CCCDD..EE... H99 A99 I98 E99
7 4 3 ..F.BB..F.HI.AAGHI...G..CCCGDD....EE G98 I98 D99 E98
7 4 3 ..FGBB..FG...AAGHI....HICCC.DDEE.... H99 I99 D99 E98
7 4 3 ..F.BB..FGHI.AAGHI...G..CCC.DD....EE G99 I98 D99 E98
7 4 3 ..FGBB..FG...AAGHI....HICCC.DD...EE. H99 I99 D99 E99
7 4 3 ..FBB...FGHI.AAGHI...G..CCC.DD..EE.. G99 B99 I98 D99
7 4 3 ..F.BB..F.H..AAGHI...G.ICCCGDD...EE. G98 I99 D99 E99
7 4 3 ..F.BB..FGH..AAGHI...G.ICCC.DD...EE. G99 I99 D99 E99
7 4 3 ..F.BB..FGH..AAGHI...G.ICCC.DD....EE G99 I99 D99 E98
7 4 3 ..FGBB..FGH..AAGHI.....I.CCCDDEE.... I99 C99 D99 E98
7 4 3 ..FGBB..FG...AAGHI....HICCC.DD....EE H99 I99 D99 E98
7 4 3 ..F.BB..FGHIAA.GHI...G..CCCDD..EE... G99 A99 I98 E99
7 4 3 ..FGBB..FGHIAA.GHI......CCC.DD...EE. A99 I98 D99 E99
7 4 3 ..FGBB..FG...AAGHI....HICCC.DD.EE... H99 I99 D99 E99
7 4 3 ..F.BB..FGHIAA.GHI...G..CCCDD.EE.... G99 A99 I98 E98
7 4 3 ..FGBB..FG.I.AAGHI....H.CCC.DD...EE. H99 I98 D99 E99
7 4 3 ..F.BB..F.HI.AAGHI...G..CCCGDD...EE. G98 I98 D99 E99
7 4 3 ..FGBB..FGHIAA.GHI......CCC.DDEE.... A99 I98 D99 E98
7 4 3 ..F.BB..FGH..AAGHI...G.I.CCCDD..EE.. G99 I99 C99 D99
7 4 3 ..FGBB..FG.I.AAGHI....H.CCC.DDEE.... H99 I98 D99 E98
7 4 3 ....BB...GH.AAFGH...FG..CCCDDI..EE.I F98 G99 A99 I99
7 4 3 ..F.BB..F.HI.AAGHI...G..CCCGDDEE.... G98 I98 D99 E98
